STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P
NP-GJ319C,1,0.3072049489156511,2.717228080088873e-10,0.3069197392836984,2.805154703073821e-10,0.3055996530099141,3.2500828859247684e-10,0.3047484805873367,3.5731642345551856e-10,0.2995002492920492,6.392488595456327e-10
NP-GJ3202,1,0.52736540055454,0.9287482002919936,0.5124778769357712,0.9476179036157965,0.4949811654142234,0.9645354408840799,0.4696523197544397,0.980922136289749,0.4599426625550988,0.98521887114462
NP-GJ3205,1,0.3894438411708091,0.9355754856112792,0.3638812611452904,0.9748116009498292,0.3636853630939424,0.9750146959161046,0.3599746535247657,0.9786258037639748,0.3596568764044456,0.9789148152787126
NP-GJ3212,1,0.6873740487826047,0.4148792209797825,0.6873061756583432,0.4151365883192088,0.6864385399778803,0.4184298163904252,0.6863106927684013,0.4189155800920636,0.6858252651832668,0.420761145103686
NP-GJ3218,1,0.4272323266887639,0.0037379708577163994,0.41608830487185905,0.00552415937831437,0.3977816861373316,0.010304386073314586,0.39380716413505534,0.01176310392683101,0.377501902658687,0.020027193591015645
NP-GJ3221,1,0.6518144445576415,0.0004774486135578453,0.6250836616774516,0.0011357314704937818,0.6192149309683058,0.001361906624415415,0.6160813187804646,0.001498787487553645,0.5962370237563165,0.0026983273100001518
NP-GJ3256,1,0.5940469206467155,0.0037338292511250462,0.593094774546162,0.003841513581155214,0.5650526961561746,0.008605836098529105,0.540170033070883,0.016798685353550724,0.502630838518398,0.04265586797238459
NP-GJ3263,1,0.5530986968579993,0.18042101606597705,0.5334001523380306,0.2367041901548799,0.5093989230168895,0.3193330714376688,0.44121096440699625,0.6137987021312881,0.4206253772363453,0.7044857391554615
NP-GJ3279,1,0.9655997656389944,0.00023037086757879413,0.9619888339197362,0.00032618029747783487,0.9556708906915348,0.0005570972314736621,0.9516100759405918,0.0007556757230031848,0.9408178725643076,0.0015207945015277154
NP-GJ3307,1,0.999630544960642,5.95633437680188e-26,0.9970585454408092,9.605341762621127e-19,0.9796519442018616,4.995762190058196e-12,0.9189264980107515,3.075677328395901e-07,0.8926039587459325,2.8749470574679494e-06
NP-GJ333,1,0.9902775838846468,1.2100636041636672e-11,0.9834035838580276,3.898953106544389e-10,0.936340488377898,2.3752307368445493e-06,0.9325233798949264,3.4612117335935517e-06,0.9146118930438888,1.5838317144719476e-05
NP-GJ3379,1,0.024774448397374502,0.9999990917174708,0.024290267148782883,0.9999990315830024,0.023755923044567338,0.9999989588842106,0.02325021913812311,0.9999988832534612,0.022839321896149813,0.9999988163678905
NP-GJ3440,1,0.5509953219173435,0.00036443188832115564,0.5507692522663853,0.00036748818538403176,0.5502802298666601,0.0003741817555440514,0.5433176965310655,0.0004827644724910448,0.5037805225843562,0.0019059666754396945
NP-GJ3528,1,0.6917977349241287,0.11886261070644395,0.6887350157895296,0.12539478606269264,0.6761744030106506,0.15493306503449755,0.6531017337156251,0.2212633150738044,0.6503797769019721,0.230141973804198
NP-GJ3530,1,0.6307884664818321,0.008749881081616248,0.6117358721556576,0.014214209641248431,0.5647195624440424,0.04223708075064432,0.564632048393223,0.0423170703930082,0.5644633229657688,0.04247165839003074
NP-GJ361,1,0.030300915184632713,1.0,0.026152985720711213,1.0,0.018491597080729387,1.0,0.009571576213628528,1.0,0.004950179338848417,1.0
NP-GJ3643,1,0.01272834876981249,0.9999999999999756,0.01240753819900244,0.9999999999999696,0.012103591460460248,0.999999999999962,0.012003407846994902,0.9999999999999591,0.010902842426855323,0.9999999999999041
NP-GJ369,1,0.6217299688923483,3.494215222347401e-07,0.6033624217840658,9.317709725101644e-07,0.6014750742308914,1.0278444169838649e-06,0.5831631463920602,2.6000291778818138e-06,0.5484123917755467,1.3552241755813868e-05
NP-GJ3700,1,0.7390421578357349,0.2498311789989245,0.7260442895623094,0.2867650903350396,0.7018109702423928,0.3607578934756011,0.6913833508454266,0.394160475367028,0.6580252137944708,0.5040374591354734
NP-GJ3759,1,0.5644398507964131,0.8051842998440475,0.5578963762664375,0.8220939370658987,0.528704527145972,0.8861274937614153,0.5133284031326215,0.9124478149883476,0.4963848176482182,0.9359474424763794
NP-GJ3778,1,0.9760711603274738,1.6054853882932998e-11,0.9758835151248878,1.7088555315177613e-11,0.9705787282940934,8.362762657035602e-11,0.9309133025005836,7.575917447770303e-08,0.6948346168741926,0.009464629056822844
NP-GJ377,1,0.5747041317367264,0.7014398397188969,0.5564409509254289,0.7625567341210366,0.5542871603375336,0.7693251948750544,0.5290267391766479,0.840801185406749,0.5163204695983268,0.8708986251967316
NP-GJ3804,1,0.489715875404323,0.7446194670298868,0.4895223110139965,0.7454762721607342,0.4892215732446529,0.7468051871241339,0.4884302518255295,0.7502884817276332,0.4881503806843012,0.7515157295006563
NP-GJ3813,1,0.873762191466632,3.351356990989402e-06,0.8733973859422616,3.433872465349438e-06,0.8722867817380664,3.6961969297259492e-06,0.8677749049351815,4.952374304226965e-06,0.8235487475059966,5.6077290430624536e-05
NP-GJ3822,1,0.445500084742113,1.9663640459617274e-06,0.4345370858840993,3.6694971516661246e-06,0.4182477608052066,9.061263640890759e-06,0.4096924937874047,1.4413596340683087e-05,0.38431682295944697,5.482667822718253e-05
NP-GJ3835,1,0.5669956418094392,0.7625802489336845,0.560183955537484,0.7791086337836326,0.5587733076614886,0.7824442614985008,0.5353690855773815,0.8332855069544234,0.5339328426053781,0.8361252103951875
NP-GJ386,1,0.5020443152932573,3.035326018679097e-07,0.50086591566945,3.243073729556777e-07,0.4875305976738496,6.784320943080029e-07,0.4799802134144167,1.0213723516615989e-06,0.4700008563012466,1.7375911668333396e-06
NP-GJ3871,1,0.5273727506243734,0.0009732342472036944,0.5103546389515391,0.001715797742773926,0.4606428144856392,0.0080148422717679,0.4276281792605677,0.02045711026631189,0.4214699203548749,0.02418669237665989
NP-GJ3874,1,0.01760077896705554,0.9999999999999896,0.016982531182009455,0.9999999999999856,0.015109727192806968,0.9999999999999576,0.015008178140592694,0.9999999999999548,0.0147729728515804,0.9999999999999478
NP-GJ390,1,0.08175124204188143,0.9992652667653622,0.07790449740263143,0.9996661218111842,0.07632790236159606,0.9997632003936606,0.07574802084580938,0.9997919449780179,0.07445801270255865,0.9998449182832012
NP-GJ3915,1,0.9989675849732697,1.552361133905163e-22,0.997378638188665,2.679768633872612e-19,0.9856432918205748,2.1577485460669517e-13,0.915000740735924,3.143382172142055e-07,0.7610958482631397,0.0011182803761852177
NP-GJ3918,1,0.35663254591811083,0.5543540590926387,0.3364831857017256,0.6903788236664955,0.3311825526941391,0.7247142570725641,0.3246656082803052,0.7651609292411022,0.317226326402334,0.8082320477738155
NP-GJ3962,1,0.9817428009861896,3.079964871872312e-19,0.9815251491858156,3.550264291910945e-19,0.9739528735367726,2.1816041528674618e-17,0.9330950894801644,1.7621696290641408e-12,0.7810067462922697,2.441099758246811e-06
