STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P,6th Peak,6th Peak F.A.P,7th Peak,7th Peak F.A.P,8th Peak,8th Peak F.A.P,9th Peak,9th Peak F.A.P,10th Peak,10th Peak F.A.P,11th Peak,11th Peak F.A.P,12th Peak,12th Peak F.A.P,13th Peak,13th Peak F.A.P,14th Peak,14th Peak F.A.P,15th Peak,15th Peak F.A.P,16th Peak,16th Peak F.A.P,17th Peak,17th Peak F.A.P,18th Peak,18th Peak F.A.P,19th Peak,19th Peak F.A.P,20th Peak,20th Peak F.A.P
NP-GJ1256,1,0.6756501654046976,0.7712013867212344,0.6587779037771964,0.8166951690412075,0.6308853856492407,0.8779818063647535,0.6287422348801714,0.8819865201680315,0.5612305837495302,0.9645985511254088,0.5585347367824409,0.9664641296097242,0.5368291514722551,0.9786644704437258,0.5260160015691234,0.9831483453538232,0.514184880951214,0.987083931238514,0.5122522481905104,0.9876425125645116,0.5097085201898461,0.9883448091582512,0.4942688057611549,0.9918913227855062,0.4929642269173691,0.992140777325894,0.490390808314906,0.992612525272034,0.4898688150019802,0.9927050134550036,0.4893660861155757,0.9927930906211476,0.4892428527505595,0.9928145325670056,0.4853507145190129,0.9934625444633756,0.4842770483459325,0.9936316597811712,0.4737925384330716,0.9950847193984164
NP-GJ126,1,0.7502602885029821,1.1830910921258696e-31,0.7374527314506719,1.9790614093936503e-30,0.7313973988095536,7.147837595808212e-30,0.7182093733682422,1.062556315404916e-28,0.5746609998425204,1.204174076764047e-18,0.379905276558127,1.7429357847777944e-09,0.3765416106729001,2.3555703038122435e-09,0.25229696304347016,5.550516558538125e-05,0.23710130076636335,0.00016769594938282383,0.2359975227174706,0.0001815448030550066,0.2321549937684468,0.00023906404511700352,0.1824431281225774,0.007312121362749982,0.15341588897286687,0.047175772186703865,0.14657644105421502,0.07172400920849475,0.13297032436111356,0.1590913659495567,0.13042324430109467,0.18334823709404416,0.12978855127279648,0.18986416935997102,0.12378628800346375,0.26156840511812296,0.12195325724204435,0.28730282705200216,0.12122763116302653,0.29800304554129
NP-GJ130,1,0.0227952309981782,1.0,0.022378221920666543,1.0,0.022273728401513253,1.0,0.021880090638920137,1.0,0.02158978460192685,1.0,0.02121566985244569,1.0,0.020480976530598088,1.0,0.019929738717716833,1.0,0.019628037793184564,1.0,0.019565547791062204,1.0,0.019381766308309626,1.0,0.01936976982756309,1.0,0.019249373745603288,1.0,0.019170349960154317,1.0,0.018968425169551054,1.0,0.018889613957304846,1.0,0.018115193514219582,1.0,0.01792568216740351,1.0,0.01785259801071131,1.0,0.01779736895727204,1.0
NP-GJ155.1,1,0.5481909995151076,0.8619377717103763,0.5442366469201574,0.8726565890219591,0.5401096549365,0.8832606292324146,0.5048396556112669,0.9505175038558163,0.49988280572804794,0.956904176404043,0.4959712226551415,0.9614812266066464,0.4935647115778184,0.96410371267486,0.486745714996568,0.9707812278720684,0.4867084462765557,0.9708147992080052,0.4812504953555665,0.9754094956208436,0.4704134735665804,0.982804936915306,0.4666364351210704,0.9849056181943352,0.4609279736154722,0.9876732061455332,0.4606073550793232,0.9878151090809224,0.454669737788768,0.9902053122706564,0.4543692908290083,0.9903148690634171,0.4538361970007484,0.9905067035065559,0.4504304699618411,0.9916577254846408,0.4491095918424528,0.9920709406017748,0.4426045739825495,0.9938600791631916
NP-GJ155.3,1,0.2660411758454568,0.6188069901794777,0.254898944782101,0.7047108498567277,0.2409278408985499,0.8034053433265959,0.22752990941199386,0.8810119962842986,0.2263188951035778,0.8870034392038734,0.22520244485026475,0.8923670874486812,0.21013945791860406,0.9496003783123602,0.20781531004801307,0.9559974191972856,0.19831121322475426,0.9761907672787504,0.192295258338818,0.9846991130805552,0.18971898814596144,0.9875114038702302,0.18918057486256185,0.9880433575441622,0.18827438319629472,0.9888975825616384,0.18216890406746625,0.9934554467062088,0.18209487524228055,0.9934993382565822,0.1798162822796994,0.9947360253707294,0.17980346457192126,0.9947423834867162,0.17914978850861088,0.9950582531406796,0.17901262800468867,0.995122478345229,0.17753676654318976,0.9957704892239718
NP-GJ157B,1,0.8221607915728059,3.3530734756420923e-34,0.7731701626654063,4.8986774032668986e-29,0.7707006447105904,8.314093807231711e-29,0.7187057408199539,1.793940917642984e-24,0.7176621411320423,2.149300232377023e-24,0.7130671525112863,4.7255263637498395e-24,0.6819472160596349,7.177914055282966e-22,0.66461001944006,9.547844428493463e-21,0.6252706457403573,2.1226732949498e-18,0.621362675572539,3.518056093842631e-18,0.6203295721171951,4.0172225105523276e-18,0.5831978325488878,3.7685341502945264e-16,0.5644256676677731,3.2103918506907e-15,0.5558927389840249,8.243421340011868e-15,0.517770259666146,4.5002351715508587e-13,0.509584304576852,1.0185589176870681e-12,0.505117335060955,1.5813654632450803e-12,0.4919581382475182,5.646396019496048e-12,0.4915987748690552,5.8433271052295245e-12,0.48221032334436403,1.4186336238736348e-11
NP-GJ16,1,0.8046666878893319,0.8102850481457871,0.8045638277821273,0.8105979122655439,0.8042799959724285,0.8114592415744444,0.8021764215763176,0.8177522453255799,0.8018908027542048,0.8185944313996533,0.8016279387473412,0.8193669405889781,0.7973939453782481,0.8314715431738711,0.7959871371475123,0.8353538434928618,0.7948067341235159,0.8385582502890421,0.7925784125990634,0.8444765586269064,0.7920911766903316,0.8457480134526866,0.7886957526849461,0.854385930223461,0.7866444514429809,0.8594182499831556,0.7861024103241314,0.8607248984148157,0.7845231760495454,0.8644772936028791,0.7820257312988486,0.8702476116568955,0.7802069227491659,0.8743255086128598,0.7797125731666437,0.8754159766267355,0.7776577805231821,0.879867547224826,0.7758626260928534,0.8836510059940023
NP-GJ182,1,0.6944177394437901,0.0005270141110371544,0.6645771277663377,0.0014363718731904376,0.5563547368765683,0.028115831418520854,0.5271435871793939,0.054453294330488934,0.4610982314639892,0.19805878572861704,0.2833440582457414,0.9814532190811392,0.28072438220036205,0.9839441422009404,0.2593576900711479,0.9958383682610678,0.2471927162448786,0.9983442052916156,0.2430983278553289,0.9988187077865692,0.23684505004010606,0.9993142879515656,0.2295699849019449,0.9996517011736552,0.22383809529078966,0.9998028165655326,0.21116603581247945,0.9999500763639896,0.19645237225031548,0.9999918029282532,0.1721067165477953,0.9999997578622914,0.16738262253012234,0.9999998870450378,0.1601344310117575,0.9999999666451383,0.1524975890611819,0.999999991347321,0.13881277519751484,0.9999999993404708
NP-GJ2003,1,0.40997302146669423,0.02092163879205292,0.4091351580709513,0.021450493988738592,0.35725382459667393,0.09168212646198846,0.3482283604973428,0.115634330157603,0.3418272787713529,0.13574142499431294,0.3222595746329172,0.2161814975696787,0.3205058250040647,0.22493813405644905,0.3190898696954452,0.2322057367455703,0.3089159362683181,0.2897144575774228,0.3008390602355217,0.3420098217173533,0.2979262362218928,0.3622723633070236,0.2970722483401401,0.3683488240505223,0.29398651887864097,0.3908021808252947,0.28444316037385176,0.4647386082839178,0.280093962026969,0.5003255624816629,0.27811625975265997,0.5168114556470811,0.27559663552033514,0.5380359890381637,0.2689959676256397,0.5944077003464847,0.2529488005440438,0.7296056378353603,0.2524025617711095,0.7339983705159844
NP-GJ2049,1,0.5716476422377005,7.620490790793637e-08,0.5447063934940292,3.745690327751095e-07,0.5302343858506645,8.468980647224876e-07,0.5140893934961702,2.0418845450720245e-06,0.512603375002555,2.2107895750081845e-06,0.5114281166785443,2.353793845991531e-06,0.5061560861842075,3.112065579608256e-06,0.5058479802801213,3.162969418315873e-06,0.5013896178797191,3.995294652143022e-06,0.4697626493274124,1.973488365709455e-05,0.4591231128279857,3.3030804238560256e-05,0.4588921491462419,3.3398240782206186e-05,0.4567927169115263,3.692299434221406e-05,0.4546059752327729,4.097270347149365e-05,0.4383977471000696,8.743150711788238e-05,0.4370939970902711,9.28343803635178e-05,0.43657913196404907,9.505502966687082e-05,0.4257853148485124,0.00015521766400601096,0.4205623947673998,0.00019609642665253452,0.4050905459442706,0.00038689121294575504
NP-GJ2066,1,0.3437493378920207,1.0109673173277662e-07,0.3225763446650479,5.527623313446368e-07,0.3224448733303252,5.585257150549328e-07,0.31640738416825404,8.972588894025046e-07,0.3146512397861512,1.0290546001038146e-06,0.30371587584063464,2.395782752524584e-06,0.3027243678234693,2.5847528845069484e-06,0.29924367890955944,3.371081625002927e-06,0.29464447775750685,4.778012185289853e-06,0.2853375613678366,9.606128054389267e-06,0.2835448331942334,1.0976926013509413e-05,0.269147040259948,3.163078254933566e-05,0.26856416425039303,3.2999605089737546e-05,0.264392419403902,4.464002055987149e-05,0.25519173595702,8.634593127280423e-05,0.25453164180253524,9.049967472514139e-05,0.2542085580425966,9.260341916723416e-05,0.2538488337176293,9.500209820185032e-05,0.25276224435149514,0.00010262297073964784,0.2520519373107307,0.0001079249339777042
NP-GJ2121,1,0.7987253525526442,2.1036290941929801e-07,0.7939676604818465,2.808846198340693e-07,0.7704173118443811,1.0707045513758656e-06,0.7109559178387285,1.8317720450833937e-05,0.6802724094456014,6.326410605687167e-05,0.6579299923191713,0.00014477839491913358,0.6154139840459057,0.0006058041498478098,0.4770331659445841,0.024614880348835,0.4472703303129384,0.04708653001890405,0.41785445857666537,0.08532354454515709,0.3798806394203492,0.17097237548030114,0.3789723663919934,0.1736519934060027,0.3708767180855997,0.19899893005939132,0.2942293398441717,0.5654604249479932,0.2819607951652344,0.6366750039590455,0.2810225382171957,0.6420777273703708,0.27422410313907075,0.6807934030698758,0.27084973057200645,0.6996374452387863,0.26674880917023586,0.7221030357431614,0.26622767512323603,0.7249191860727521
NP-GJ218,1,0.7587669520996408,0.008964922628599352,0.7448797158033049,0.012758344641402044,0.738384383187521,0.014942550841962703,0.7330238959227441,0.016970187493842853,0.7285170948041352,0.018845942262568336,0.7167272431494104,0.02457464225138109,0.6884226638639305,0.04429500845080071,0.6742599941765623,0.058113989321440886,0.6731701495334876,0.059305283816932536,0.6706711099494691,0.062110203496684,0.6702789953674979,0.06255969288005755,0.6677820605885858,0.06548271530916892,0.6536771870643295,0.08407238003308276,0.6496501057828116,0.09006773432107314,0.6451312758294278,0.09718162169553927,0.64261549593635,0.10132415686702964,0.6379532027897348,0.10935487401666504,0.6334359597902038,0.11758532519059255,0.6320724304904186,0.12015852889008442,0.6305499658628935,0.12308105518622114
NP-GJ234A,1,0.6298522584367702,0.29484531060034264,0.6190578545191032,0.33350490455268283,0.5953322349924209,0.4258817443256442,0.5665090785846674,0.5464762088902998,0.5603856188942266,0.5724087854055281,0.5463777564892188,0.6310566281223836,0.5249009092985044,0.7166204570334399,0.4922470885114471,0.828164720468447,0.4741557893432958,0.8771019745282916,0.4708265520281946,0.8850171129416669,0.4620108623065874,0.9043357267751208,0.4101215462992729,0.9746208076945736,0.4037013708054941,0.9791256631656378,0.4016804473753649,0.9804004812143294,0.3878096619093949,0.9875314667086282,0.3865430139473199,0.9880567813257516,0.3814526400257108,0.9899838428731972,0.36763051299194266,0.9939378013061122,0.3670017685806781,0.9940797523861628,0.3618971579162313,0.9951292887337736
NP-GJ238,1,0.8666253190363349,0.011454255638523087,0.8655685002860249,0.011767508971970408,0.8654562946906094,0.011801113636887043,0.8645054010237505,0.01208858003455685,0.8619670764159894,0.012879703909132036,0.8592760561285463,0.013756889244996715,0.8592418360890665,0.013768302878666832,0.8589096107706281,0.013879453360718427,0.8578924966888613,0.014223604726927746,0.8577916795757171,0.014258035776468428,0.8571315191292818,0.01448492073878798,0.8562959410382177,0.014775660154641903,0.8546824378444879,0.015348456445980502,0.8545541641928199,0.015394641828633156,0.8541942482902041,0.015524743473259554,0.8529323724675367,0.015986883898694505,0.8519355940522508,0.01635858593178743,0.8518052408383343,0.01640763185894545,0.8473226766231855,0.01815662583395876,0.8457617131794368,0.01879462189430442
NP-GJ298,1,0.2986279775127021,0.017308715654282703,0.2592958821930937,0.07416351657370615,0.2299288093059013,0.197328327338132,0.2182925283380304,0.2799426082833419,0.1946036656510121,0.5162787857311486,0.19044412140405173,0.5648586671411122,0.18517044016281128,0.6274262112872777,0.17586484465252888,0.7355229160742223,0.17324852527895332,0.7642317613279889,0.17275720600754962,0.769499239506087,0.16423651935825234,0.8528537180343432,0.16330217138399264,0.8609216869091455,0.16095290925381894,0.8801429606933304,0.15691175842384306,0.9094783175345144,0.149480183353606,0.9507644355130784,0.14546915734233806,0.966522615823142,0.1448765632825615,0.968495593257609,0.1426254685415184,0.9752194269085778,0.14259408343333413,0.975304869353264,0.14249238932255084,0.9755802044217634
NP-GJ3009,1,0.8661277308413557,0.02287662763402776,0.8613463070025593,0.0257641972948857,0.8606353559733657,0.02621379648569197,0.8592019830121517,0.02713648865953304,0.8577041575815831,0.028124092801175272,0.8569891896496331,0.0286040341467683,0.8566249160563825,0.028850694093834506,0.8563959655893189,0.0290064617850467,0.8539074762806146,0.03073659336418044,0.8492417978322757,0.034166777052076984,0.8491964468753977,0.03420133229682305,0.8472806627868464,0.035682735024327866,0.8457566355559697,0.036891677454087266,0.8457522802082236,0.03689517134209883,0.8446186304912136,0.03781219201774813,0.8403107080069562,0.04143660608729376,0.8397971316772628,0.04188363532011324,0.8397750056450909,0.041902966559768606,0.8392449239042994,0.04236787934524402,0.8382644588425106,0.043236873228926664
NP-GJ3110,1,0.999990825891636,1.502921602924846e-19,0.9998791938636282,4.520386474244338e-15,0.999869563582506,6.14358311397385e-15,0.9998099152847582,2.7710894565124282e-14,0.9997787756908484,5.0840360486264186e-14,0.9997347599616992,1.0506375210796102e-13,0.9995413656846991,9.393462972489868e-13,0.9994994663640082,1.3326100824834775e-12,0.9994890507047344,1.4470506056055982e-12,0.9993082382230408,4.862225885344856e-12,0.9992847725558268,5.55634907685054e-12,0.999085247912426,1.4868076353491005e-11,0.9990559369754296,1.6867416517006756e-11,0.9989841683979336,2.2612020242721856e-11,0.9988393263577476,3.8539534241684177e-11,0.9987425788644368,5.308801104559179e-11,0.9986771097581558,6.503888856379938e-11,0.9982288583735162,2.0898280419350425e-10,0.9978808199920656,4.283255552732139e-10,0.9976896766887796,6.050533452898013e-10
NP-GJ3141,1,0.8773059635365014,0.018740446667044518,0.8743747498695991,0.02030790143258916,0.8630145648903788,0.02723647988999952,0.8173320507693195,0.07110469092671623,0.8147463900622041,0.07444901368081341,0.8145532166349293,0.07470283866415313,0.8095179482381204,0.08151543692706388,0.7852321934308876,0.11980482191123455,0.7446958880594909,0.20393025581993332,0.7384719816107657,0.21898896728330586,0.6736518231144942,0.4019539877457461,0.6484964691667346,0.4805408213887343,0.6020355907479408,0.6235631759656921,0.5921003555880213,0.6524534300111527,0.5843506356074231,0.6743465288644103,0.5409230410800075,0.7840241991675322,0.494183607058567,0.8729866060277754,0.4901317267807578,0.8792247370376574,0.4829555901301131,0.8897158387369308,0.33863590894465745,0.9881464830094291
NP-GJ319C,1,0.3072049489156511,2.717228080088873e-10,0.3069197392836984,2.805154703073821e-10,0.3055996530099141,3.2500828859247684e-10,0.3047484805873367,3.5731642345551856e-10,0.2995002492920492,6.392488595456327e-10,0.2984190888759402,7.202170439681474e-10,0.29661146128245464,8.787623768649498e-10,0.2965222245837888,8.874238383529723e-10,0.29599606465321154,9.40232648513144e-10,0.29122364078010904,1.5850401161543667e-09,0.2909506436478993,1.6329222652783802e-09,0.2880063442138497,2.2492254238565182e-09,0.2845890647211973,3.2559783130299823e-09,0.2833814914932432,3.708996962141409e-09,0.28283861740906496,3.9323970501205865e-09,0.28216801800711044,4.226748408556043e-09,0.2815590492183637,4.5128146866039664e-09,0.2814546272530564,4.563749836126088e-09,0.2777207621977087,6.8096404762599485e-09,0.2748353706453913,9.26362173884662e-09
NP-GJ3202,1,0.52736540055454,0.9287482002919936,0.5124778769357712,0.9476179036157965,0.4949811654142234,0.9645354408840799,0.4696523197544397,0.980922136289749,0.4599426625550988,0.98521887114462,0.4536784599593847,0.9875269116959142,0.4392638219848525,0.9916886971777256,0.4236941860818499,0.9947646715222076,0.41429701037429145,0.9960852480024274,0.4129548571848183,0.996247109998876,0.4115530078824373,0.9964097047566448,0.4082317603827271,0.996769826118604,0.4070804638649665,0.9968868137013499,0.4019927572679183,0.9973591414721922,0.3969557526481943,0.9977615697177524,0.3947733392822935,0.99791785072365,0.3941949601869763,0.9979575589568582,0.38825935369851416,0.9983267727433288,0.38595032923936606,0.9984530005491168,0.3821304607274828,0.9986426948688841
NP-GJ3205,1,0.3894438411708091,0.9355754856112792,0.3638812611452904,0.9748116009498292,0.3636853630939424,0.9750146959161046,0.3599746535247657,0.9786258037639748,0.3596568764044456,0.9789148152787126,0.3588467850692472,0.9796376238935146,0.3585033486495234,0.9799380722059811,0.3525826458279457,0.9845864950123402,0.3478623372168756,0.9876337335759136,0.3474297048285481,0.9878864605188812,0.3256743698093273,0.9961385603769686,0.32425506618143096,0.9964427759296288,0.3209508783057785,0.997072269704496,0.316095493026646,0.9978218849251844,0.3111184133076436,0.9984108780069848,0.3047804182855166,0.9989555303448678,0.2990209528842165,0.9992995147404417,0.2955950686985924,0.9994522736422572,0.2926879426508297,0.9995576725362412,0.2918502028576801,0.999584448900113
